k,n,unresolved,clusters,excess_p,se_p,t,excess_gross_R,se_gross_R,ci_low_R,ci_high_R,mde_gross_R,p_arm,p_mirror,pct_long,label,cost_floor_R,beats_cost,multiple_of_cost,exec_tf,symbol,half,mechanism,cap
2.0,58926,1619,710,-0.005693581780538302,0.002207954429113313,-2.5786681579405486,-0.017080745341614904,0.006623863287339939,-0.030063517384801185,-0.004097973298428627,0.018546817204551824,0.3391541933951057,0.344847775175644,0.5019855411872518,TRAIN-H2,0.2767643122676582,False,-0.06171585202465032,,,H2,,
4.0,58773,1772,709,-0.007248226226328416,0.001982291531506555,-3.65648851903217,-0.03624113113164208,0.009911457657532775,-0.055667588140406316,-0.01681467412287784,0.027752081441091772,0.20924574209245742,0.21649396831878584,0.502101305021013,TRAIN-H2,0.2767643122676582,False,-0.13094582475139843,,,H2,,
0.5,79942,2535,1415,0.029396312326436667,0.0014744865287068245,19.936643539373836,0.044094468489655,0.002211729793060237,0.03975947809525694,0.04842945888405306,0.006192843420568662,0.6682594881288935,0.6388631758024568,0.4990868379575192,mech=M1,0.24285529411764567,False,0.181566840656537,,,,M1,
1.0,79886,2591,1413,0.012711864406779662,0.0016597482434690097,7.6589111974059545,0.025423728813559324,0.0033194964869380193,0.018917515699160805,0.03192994192795784,0.009294590163426453,0.5107152692586936,0.49800340485191397,0.49907367999399144,mech=M1,0.24285529411764567,False,0.10468673909675356,,,,M1,
2.0,79796,2681,1413,0.002236954233294902,0.0016593171068876565,1.3481173815478262,0.0067108626998847055,0.00497795132066297,-0.0030459218886147144,0.016467647288384124,0.013938263697856312,0.3480500275703043,0.3458130733370094,0.49911023108927766,mech=M1,0.24285529411764567,False,0.02763317441469397,,,,M1,
4.0,79694,2783,1413,-0.0031620950134263557,0.0015533763194814584,-2.0356271521390985,-0.015810475067131777,0.007766881597407292,-0.03103356299805007,-0.0005873871362134866,0.021747268472740416,0.2152734208346927,0.21843551584811904,0.4991090922779632,mech=M1,0.24285529411764567,False,-0.06510245174837637,,,,M1,
0.5,59915,2023,1415,0.03081031461236752,0.0017146662142988125,17.968695222100088,0.04621547191855128,0.002571999321448219,0.04117435324851278,0.051256590588589786,0.007201598100055011,0.6687640824501377,0.6379537678377701,0.49770508219978304,mech=M2,0.23421201918828907,False,0.19732322909268576,,,,M2,
1.0,59869,2069,1413,0.013045148574387412,0.0019144169686617367,6.814162634332768,0.026090297148774824,0.0038288339373234734,0.018585782631620817,0.03359481166592883,0.010720735024505724,0.5107985768928828,0.4977534283184954,0.4976866157777815,mech=M2,0.23421201918828907,False,0.11139606429762326,,,,M2,
2.0,59799,2139,1413,0.001454873827321527,0.0019038570333120613,0.7641717848900362,0.004364621481964581,0.005711571099936184,-0.006830057873910339,0.015559300837839503,0.015992399079821314,0.34746400441478953,0.346009130587468,0.4976671850699845,mech=M2,0.23421201918828907,False,0.018635343724421546,,,,M2,
4.0,59731,2207,1413,-0.00349064974636286,0.0017324300349134659,-2.01488641735377,-0.0174532487318143,0.00866215017456733,-0.03443106307396627,-0.0004754343896623352,0.02425402048878852,0.2160519663156485,0.21954261606201136,0.497714754482597,mech=M2,0.23421201918828907,False,-0.07451901397845508,,,,M2,
