trades,effective_n,deff,gross_expectancy,net_expectancy,fee_R,slippage_R,funding_R,cost_per_R,win_rate,profit_factor,median_stop_pct,median_hold_min,pct_target,median_concurrency,max_concurrency,candidate_id,mechanism,exec_tf,pair,cb_gross,cb_net,cb_trades,cb_seed_sd,excess_gross_cb,excess_net_cb
3997,2583.1,1.547,0.08756567425569177,-0.10762314401872217,0.14537064728477092,0.049278185520261315,0.0005399854693817354,0.19518881827441395,0.36227170377783335,0.859,0.9995126791702067,266.0,36.25218914185639,1.0,9.0,M2|15m|12/26|s0.00,M2,15,12/26,0.043153057134178406,-0.23918718313338613,8156.0,0.09345360930785637,0.04441261712151336,0.13156403911466397
1155,871.3,1.326,0.15584415584415584,-0.026100609411533353,0.13520617075770622,0.04583260025684956,0.0009059942411334583,0.1819447652556892,0.38441558441558443,0.964,1.1011778061586437,298.0,38.52813852813853,0.0,3.0,M2|15m|12/26|s0.25,M2,15,12/26,0.08277951677100626,-0.1601799150567061,4325.0,0.0503973163850256,0.07306463907314958,0.13407930564517273
30,29.8,1.008,0.1,0.014181375395095104,0.07005734851195188,0.02374825373286504,-0.00798697763991205,0.08581862460490487,0.36666666666666664,1.021,2.2974309844281575,854.0,36.666666666666664,0.0,0.0,M2|15m|12/26|s0.50,M2,15,12/26,1.1102230246251566e-17,-0.13738253386509808,150.0,0.3598223460921059,0.09999999999999999,0.15156390926019317
468,335.5,1.395,0.10256410256410255,-0.013704409602899389,0.08667970560873109,0.02938295105380715,0.0002058555044637021,0.11626851216700194,0.36752136752136755,0.981,1.6270102148999,426.5,36.75213675213676,0.0,2.0,M3|15m|12/26|v1.2,M3,15,12/26,0.08578687194869991,-0.1297072387732114,1807.0,0.12173574210388012,0.016777230615402636,0.116002829170312
90,72.4,1.244,0.3333333333333333,0.2504020400550554,0.05921453899241752,0.020072725082175436,0.003644029203684978,0.08293129327827795,0.4444444444444444,1.418,2.336505047899081,1458.0,44.44444444444444,0.0,2.0,M3|15m|12/26|v1.5,M3,15,12/26,-0.024472417623102566,-0.21147672459470934,369.0,0.261443198361092,0.35780575095643585,0.46187876464976474
1285,1085.2,1.184,0.08093385214007782,-0.24376508897999566,0.24260525881001221,0.08223907078305497,-0.00014538847299369059,0.32469894112007347,0.3595330739299611,0.715,0.613839091196582,122.0,36.03112840466926,0.0,4.0,M4|15m|12/26|d0.25,M4,15,12/26,-0.006337819347852544,-0.5718611976028691,5051.0,0.11096580465248126,0.08727167148793037,0.3280961086228735
2285,1645.6,1.389,0.0437636761487965,-0.2540956451868304,0.2223710423319902,0.07538001434982719,0.00010826465380952683,0.2978593213356269,0.34704595185995624,0.702,0.6886751202448623,148.0,34.79212253829322,0.0,5.0,M4|15m|12/26|d0.5,M4,15,12/26,0.06724265412807698,-0.3493206897663554,7730.0,0.024419415584828637,-0.02347897797928048,0.09522504457952496
2212,1111.0,1.991,0.07007233273056059,-0.13161269648271887,0.14922137306058247,0.05058351629172287,0.0018801398609740482,0.2016850292132794,0.3562386980108499,0.829,0.963884759248165,249.0,35.66907775768535,0.0,4.0,M5|15m|12/26,M5,15,12/26,0.05992188028689357,-0.2022006830234198,7073.0,0.0587247937072366,0.010150452443667017,0.07058798654070095
2603,1550.4,1.679,0.07184018440261238,-0.10764394705271702,0.1335415391335146,0.04526831835034392,0.0006742739714708757,0.17948413145532938,0.35728006146753744,0.858,1.1356722774285084,330.0,35.72800614675374,1.0,6.0,M1|15m|20/50,M1,15,20/50,0.04718051468914922,-0.20544059151384708,5578.0,0.05789999802423336,0.02465966971346316,0.09779664446113007
2394,1423.4,1.682,0.07017543859649122,-0.10673458225675454,0.1317284899311055,0.044653725400374746,0.0005278055217655107,0.17691002085324575,0.3567251461988304,0.859,1.1474142140731562,341.5,35.67251461988304,1.0,5.0,M2|15m|20/50|s0.00,M2,15,20/50,0.05081549066467195,-0.2211802455761455,5470.0,0.06385977599439183,0.019359947931819277,0.11444566331939095
