underlying,expiry_ts,expiry,spot_at_obs,settle,max_pain,n_strikes,total_oi,pull,move
BTC,1752494400,2025-07-14 12:00:00+00:00,118111.6,121527.3379310345,118000.0,28,239.22700000000003,-0.0009448690899116244,0.02891958055800191
BTC,1752840000,2025-07-18 12:00:00+00:00,118000.0,119035.37241379311,118000.0,76,640.687,0.0,0.008774342489772144
BTC,1753185600,2025-07-22 12:00:00+00:00,117915.8,119061.46206896554,118200.0,32,218.10000000000002,0.0024101943929481636,0.009715933479360181
BTC,1753531200,2025-07-26 12:00:00+00:00,116548.4,117873.14482758622,116400.0,42,337.489,-0.0012732907530261608,0.01136647802617819
BTC,1753876800,2025-07-30 12:00:00+00:00,118641.9,117776.65862068968,118600.0,33,273.57500000000005,-0.000353163595660506,-0.007292882019845593
BTC,1754222400,2025-08-03 12:00:00+00:00,113707.7,113967.70344827585,113800.0,45,441.449,0.0008117304281064776,0.0022865949120055126
BTC,1754568000,2025-08-07 12:00:00+00:00,114340.4,116635.71379310347,114200.0,33,318.89200000000005,-0.0012279124438955452,0.02007439009399541
BTC,1754913600,2025-08-11 12:00:00+00:00,118339.8,120560.92413793103,118200.0,30,388.42499999999995,-0.0011813438927563077,0.018769037449201564
BTC,1755259200,2025-08-15 12:00:00+00:00,120977.8,119044.39655172414,120600.0,70,768.856,-0.003122887009021514,-0.015981473032869318
BTC,1755604800,2025-08-19 12:00:00+00:00,114995.7,115535.98965517244,115200.0,36,263.87699999999995,0.0017765881680793536,0.00469834659185031
BTC,1755950400,2025-08-23 12:00:00+00:00,112350.0,115451.51379310346,112400.0,34,462.145,0.0004450378282153983,0.027605819253257276
BTC,1756296000,2025-08-27 12:00:00+00:00,109678.4,111291.48965517241,110000.0,49,320.25,0.0029322090767188967,0.014707450648189749
BTC,1756641600,2025-08-31 12:00:00+00:00,108470.0,108424.96206896556,108600.0,46,473.3860000000001,0.0011984880612150824,-0.00041521094343545053
BTC,1756987200,2025-09-04 12:00:00+00:00,111600.4,110930.31379310346,111200.0,40,326.639,-0.003587800760570699,-0.006004335171706698
BTC,1757332800,2025-09-08 12:00:00+00:00,111289.0,111919.1724137931,111000.0,36,407.784,-0.002596842455229178,0.005662486083917561
BTC,1757678400,2025-09-12 12:00:00+00:00,114133.0,114986.31724137929,113400.0,62,940.8380000000001,-0.006422331840922432,0.00747651635705092
BTC,1758024000,2025-09-16 12:00:00+00:00,114991.4,115356.89310344831,115000.0,25,355.927,7.478820155251455e-05,0.0031784385914800247
BTC,1758369600,2025-09-20 12:00:00+00:00,116423.3,115847.4275862069,116400.0,36,724.9679999999998,-0.0002001317605668531,-0.004946367383445569
BTC,1758715200,2025-09-24 12:00:00+00:00,112997.0,113005.3724137931,113000.0,38,441.57900000000006,2.654937741709957e-05,7.409412456170103e-05
BTC,1759060800,2025-09-28 12:00:00+00:00,109297.8,109293.87931034483,109400.0,34,667.9680000000001,0.000935059992058368,-3.5871624636331465e-05
BTC,1759406400,2025-10-02 12:00:00+00:00,116716.3,118751.55862068966,116400.0,40,456.50699999999995,-0.0027099899499898722,0.01743765541479341
BTC,1759752000,2025-10-06 12:00:00+00:00,123126.1,124251.15172413795,123200.0,45,502.83,0.0006001976835130341,0.00913739429851138
BTC,1760097600,2025-10-10 12:00:00+00:00,122984.1,121536.26551724138,122800.0,74,1464.8429999999998,-0.0014969414745483831,-0.011772533870302145
BTC,1760443200,2025-10-14 12:00:00+00:00,113996.0,111441.24137931035,114600.0,59,381.096,0.00529843152391312,-0.022410949688494792
BTC,1760788800,2025-10-18 12:00:00+00:00,105787.4,106969.20689655174,105600.0,64,387.64200000000005,-0.001771477510554132,0.011171527956559525
BTC,1761134400,2025-10-22 12:00:00+00:00,108562.7,107694.00689655171,108600.0,46,517.603,0.00034358025362304836,-0.008001763989365446
BTC,1761480000,2025-10-26 12:00:00+00:00,111579.5,113078.70344827589,111600.0,37,703.0809999999999,0.00018372550513311137,0.013436190772282454
BTC,1761825600,2025-10-30 12:00:00+00:00,113194.2,109909.5,113000.0,41,384.10900000000004,-0.001715635606771346,-0.02901827125418084
BTC,1762171200,2025-11-03 12:00:00+00:00,111200.0,107731.62758620692,110800.0,32,503.147,-0.0035971223021582736,-0.031190399404614065
BTC,1762516800,2025-11-07 12:00:00+00:00,103018.1,100194.73793103451,103000.0,72,963.452,-0.00017569728038088279,-0.02740646613522762
BTC,1762862400,2025-11-11 12:00:00+00:00,105921.3,105336.39310344827,106000.0,47,495.807,0.0007430044759646746,-0.005522089481074499
BTC,1763208000,2025-11-15 12:00:00+00:00,95873.0,95751.85862068967,96200.0,68,593.9830000000001,0.0034107621540996943,-0.0012635609536608583
BTC,1763553600,2025-11-19 12:00:00+00:00,91326.8,91519.10344827584,91400.0,55,627.008,0.0008015171888207743,0.0021056628314562384
BTC,1763899200,2025-11-23 12:00:00+00:00,83999.8,86240.88620689655,84000.0,76,1408.065,2.380958049865471e-06,0.026679661224152326
BTC,1764244800,2025-11-27 12:00:00+00:00,86733.0,91420.63103448278,86800.0,42,504.243,0.0007724856744261123,0.054046683897510515
BTC,1764590400,2025-12-01 12:00:00+00:00,91047.1,86345.52068965515,91000.0,31,466.53099999999995,-0.000517314664607723,-0.05163897927934939
BTC,1764936000,2025-12-05 12:00:00+00:00,92999.4,91277.83793103448,93000.0,90,1541.681,6.451654526865989e-06,-0.018511539525690693
BTC,1765281600,2025-12-09 12:00:00+00:00,91831.9,90294.43103448274,92000.0,42,433.346,0.0018305185888564412,-0.016742210119982875
BTC,1765627200,2025-12-13 12:00:00+00:00,92289.2,90382.20666666665,92200.0,47,528.809,-0.0009665269609011357,-0.020663233978985045
BTC,1765972800,2025-12-17 12:00:00+00:00,87304.6,86908.10689655169,87000.0,43,457.341,-0.003488934145509009,-0.00454149155311766
BTC,1766318400,2025-12-21 12:00:00+00:00,88266.8,88624.24482758621,88200.0,44,1275.969,-0.0007567964398845649,0.004049595403778189
BTC,1766664000,2025-12-25 12:00:00+00:00,87182.7,87525.06896551726,87200.0,37,590.8220000000001,0.00019843386359911898,0.003927028705434265
BTC,1767009600,2025-12-29 12:00:00+00:00,87856.3,87657.19310344827,87800.0,30,513.171,-0.0006408191558260808,-0.0022662791006647603
BTC,1767355200,2026-01-02 12:00:00+00:00,88017.2,89495.66206896552,87800.0,50,1539.529,-0.0024676994950986525,0.016797422196633473
BTC,1767700800,2026-01-06 12:00:00+00:00,93115.8,93818.22758620688,92800.0,37,627.5129999999999,-0.003391475990111269,0.0075435918094123155
BTC,1768046400,2026-01-10 12:00:00+00:00,90466.8,90760.12758620692,90400.0,34,700.752,-0.0007383924268350699,0.0032423782670207534
BTC,1768392000,2026-01-14 12:00:00+00:00,91973.0,94901.07241379311,92000.0,30,697.741,0.00029356441564372155,0.031836217300654654
BTC,1768737600,2026-01-18 12:00:00+00:00,95301.9,95134.7827586207,95200.0,30,1504.893,-0.001069233666904796,-0.0017535562394799642
BTC,1769083200,2026-01-22 12:00:00+00:00,88757.1,89976.91379310342,89000.0,45,945.5210000000001,0.0027366824738527303,0.013743281304858026
BTC,1769428800,2026-01-26 12:00:00+00:00,88467.6,87835.7379310345,89000.0,29,621.694,0.006018022417246474,-0.007142299202934263
BTC,1769774400,2026-01-30 12:00:00+00:00,87912.7,82897.85172413792,88600.0,93,2852.9749999999995,0.007817983067292927,-0.05704350197254869
BTC,1770120000,2026-02-03 12:00:00+00:00,77930.7,78221.12068965517,78000.0,63,819.4769999999999,0.0008892516043100205,0.0037266531630689424
BTC,1770465600,2026-02-07 12:00:00+00:00,66417.2,67862.49999999999,66200.0,78,1427.3069999999998,-0.0032702372277060325,0.021760929397806418
BTC,1770811200,2026-02-11 12:00:00+00:00,68711.3,66982.55172413794,69000.0,39,841.3299999999999,0.004201637867424966,-0.02515959203016186
BTC,1771156800,2026-02-15 12:00:00+00:00,70420.6,70328.68620689656,70000.0,42,2948.535,-0.005972684129359957,-0.0013052117292873004
BTC,1771502400,2026-02-19 12:00:00+00:00,67485.1,66666.05862068964,67600.0,35,964.473,0.0017025980549779753,-0.012136625407836178
BTC,1771848000,2026-02-23 12:00:00+00:00,68134.9,66189.24827586209,68000.0,28,804.54,-0.0019798957656060874,-0.02855587553717558
BTC,1772193600,2026-02-27 12:00:00+00:00,68166.0,66157.18275862068,68400.0,100,3520.743,0.003432796408766834,-0.029469489795195872
BTC,1772539200,2026-03-03 12:00:00+00:00,66378.7,67020.28620689655,66200.0,42,1027.1689999999999,-0.0026921286497023455,0.009665543418243364
BTC,1772884800,2026-03-07 12:00:00+00:00,70160.2,68082.54827586208,70600.0,41,1211.1950000000002,0.006268511207208687,-0.02961296752486337
BTC,1773230400,2026-03-11 12:00:00+00:00,70480.6,69422.6551724138,70400.0,47,1040.2959999999998,-0.001143577097811395,-0.015010440143616948
