k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,scenario,signal_real,economics_viable
1.0,0.0075,82613,1412,57,0.004926585404234201,0.0045669917350186886,1.0787375344821026,-0.004024718396402428,0.01387788920487083,0.5048721145582414,0.5024088218561243,0.009744229116482872,0.004817643712248687,0.2906666666666667,-0.2809224375501838,-0.285849022954418,0.004926585404234201,0.004926585404234201,0.01694926171181491,58.999619983619986,5,ALL,primary,B,C_high_slip,False,False
1.0,0.0075,82613,1412,57,0.004926585404234201,0.0045669917350186886,1.0787375344821026,-0.004024718396402428,0.01387788920487083,0.5048721145582414,0.5024088218561243,0.009744229116482872,0.004817643712248687,0.1368,-0.12705577088351713,-0.13198235628775132,0.004926585404234201,0.004926585404234201,0.0360130512005424,27.767711056511057,5,ALL,primary,B,D_fee_sens,False,False
0.25,0.01,82619,1412,51,0.0018306926978055894,0.0016977554944079215,1.0783017365195033,-0.0014969080712339362,0.005158293466845116,0.794345126423704,0.7928805722654595,-0.0070685919703699085,-0.008899284668175689,0.158,-0.1650685919703699,-0.1668992846681757,0.0018306926978055894,0.0018306926978055894,0.011586662644339173,86.30612892561984,5,ALL,primary,B,A_baseline,False,False
0.25,0.01,82619,1412,51,0.0018306926978055894,0.0016977554944079215,1.0783017365195033,-0.0014969080712339362,0.005158293466845116,0.794345126423704,0.7928805722654595,-0.0070685919703699085,-0.008899284668175689,0.138,-0.14506859197036992,-0.1468992846681757,0.0018306926978055894,0.0018306926978055894,0.013265889114533256,75.38130247933886,5,ALL,primary,B,B_low_slip,False,False
0.25,0.01,82619,1412,51,0.0018306926978055894,0.0016977554944079215,1.0783017365195033,-0.0014969080712339362,0.005158293466845116,0.794345126423704,0.7928805722654595,-0.0070685919703699085,-0.008899284668175689,0.218,-0.2250685919703699,-0.2268992846681757,0.0018306926978055894,0.0018306926978055894,0.008397672925713712,119.08060826446281,5,ALL,primary,B,C_high_slip,False,False
0.25,0.01,82619,1412,51,0.0018306926978055894,0.0016977554944079215,1.0783017365195033,-0.0014969080712339362,0.005158293466845116,0.794345126423704,0.7928805722654595,-0.0070685919703699085,-0.008899284668175689,0.1026,-0.1096685919703699,-0.11149928466817569,0.0018306926978055894,0.0018306926978055894,0.017843008750541806,56.04435966942149,5,ALL,primary,B,D_fee_sens,False,False
0.5,0.01,82609,1412,61,0.004267089542301686,0.0025570456996978114,1.668757638084437,-0.0007447200291060244,0.009278899113709396,0.668619641927635,0.6657749155661006,0.002929462891452461,-0.001337626650849133,0.158,-0.15507053710854754,-0.15933762665084913,0.004267089542301686,0.004267089542301686,0.027006895837352444,37.02758014184397,5,ALL,primary,B,A_baseline,False,False
0.5,0.01,82609,1412,61,0.004267089542301686,0.0025570456996978114,1.668757638084437,-0.0007447200291060244,0.009278899113709396,0.668619641927635,0.6657749155661006,0.002929462891452461,-0.001337626650849133,0.138,-0.13507053710854755,-0.13933762665084914,0.004267089542301686,0.004267089542301686,0.030920938712331057,32.34054468085107,5,ALL,primary,B,B_low_slip,False,False
0.5,0.01,82609,1412,61,0.004267089542301686,0.0025570456996978114,1.668757638084437,-0.0007447200291060244,0.009278899113709396,0.668619641927635,0.6657749155661006,0.002929462891452461,-0.001337626650849133,0.218,-0.21507053710854754,-0.21933762665084913,0.004267089542301686,0.004267089542301686,0.019573805239915993,51.0886865248227,5,ALL,primary,B,C_high_slip,False,False
0.5,0.01,82609,1412,61,0.004267089542301686,0.0025570456996978114,1.668757638084437,-0.0007447200291060244,0.009278899113709396,0.668619641927635,0.6657749155661006,0.002929462891452461,-0.001337626650849133,0.1026,-0.09967053710854754,-0.10393762665084913,0.004267089542301686,0.004267089542301686,0.04158956668910026,24.044491914893616,5,ALL,primary,B,D_fee_sens,False,False
0.75,0.01,82609,1412,61,0.0026903848248980133,0.0035469940011094965,0.7584971454861393,-0.004261723417276599,0.009642493067072625,0.5730247309615175,0.5714873682044329,0.0027932791826557057,0.00010289435775767686,0.158,-0.1552067208173443,-0.15789710564224232,0.0026903848248980133,0.0026903848248980133,0.01702775205631654,58.727658042744665,5,ALL,primary,B,A_baseline,False,False
0.75,0.01,82609,1412,61,0.0026903848248980133,0.0035469940011094965,0.7584971454861393,-0.004261723417276599,0.009642493067072625,0.5730247309615175,0.5714873682044329,0.0027932791826557057,0.00010289435775767686,0.138,-0.1352067208173443,-0.13789710564224233,0.0026903848248980133,0.0026903848248980133,0.019495542209405893,51.29377727784028,5,ALL,primary,B,B_low_slip,False,False
0.75,0.01,82609,1412,61,0.0026903848248980133,0.0035469940011094965,0.7584971454861393,-0.004261723417276599,0.009642493067072625,0.5730247309615175,0.5714873682044329,0.0027932791826557057,0.00010289435775767686,0.218,-0.2152067208173443,-0.21789710564224232,0.0026903848248980133,0.0026903848248980133,0.012341214793110152,81.02930033745783,5,ALL,primary,B,C_high_slip,False,False
0.75,0.01,82609,1412,61,0.0026903848248980133,0.0035469940011094965,0.7584971454861393,-0.004261723417276599,0.009642493067072625,0.5730247309615175,0.5714873682044329,0.0027932791826557057,0.00010289435775767686,0.1026,-0.09980672081734429,-0.10249710564224232,0.0026903848248980133,0.0026903848248980133,0.02622207431674477,38.13580832395951,5,ALL,primary,B,D_fee_sens,False,False
1.0,0.01,82608,1412,62,0.0039221382916908775,0.004375516267800838,0.8963829755482017,-0.004653873593198765,0.01249815017658052,0.5041400348634515,0.502178965717606,0.008280069726902983,0.004357931435212015,0.158,-0.14971993027309702,-0.153642068564788,0.0039221382916908775,0.0039221382916908775,0.024823660073992896,40.28414814814815,5,ALL,primary,B,A_baseline,False,False
1.0,0.01,82608,1412,62,0.0039221382916908775,0.004375516267800838,0.8963829755482017,-0.004653873593198765,0.01249815017658052,0.5041400348634515,0.502178965717606,0.008280069726902983,0.004357931435212015,0.138,-0.12971993027309703,-0.133642068564788,0.0039221382916908775,0.0039221382916908775,0.02842129196877447,35.18488888888889,5,ALL,primary,B,B_low_slip,False,False
1.0,0.01,82608,1412,62,0.0039221382916908775,0.004375516267800838,0.8963829755482017,-0.004653873593198765,0.01249815017658052,0.5041400348634515,0.502178965717606,0.008280069726902983,0.004357931435212015,0.218,-0.20971993027309702,-0.21364206856478798,0.0039221382916908775,0.0039221382916908775,0.017991460053627877,55.58192592592592,5,ALL,primary,B,C_high_slip,False,False
1.0,0.01,82608,1412,62,0.0039221382916908775,0.004375516267800838,0.8963829755482017,-0.004653873593198765,0.01249815017658052,0.5041400348634515,0.502178965717606,0.008280069726902983,0.004357931435212015,0.1026,-0.09431993027309701,-0.09824206856478798,0.0039221382916908775,0.0039221382916908775,0.03822746872993058,26.1592,5,ALL,primary,B,D_fee_sens,False,False
0.25,0.015,82608,1412,62,0.0034348973465039706,0.001719464828599598,1.9976549036489977,6.474628244875847e-05,0.006805048410559182,0.7962667054038349,0.7935187875266319,-0.004666618245206311,-0.008101515591710129,0.10533333333333333,-0.10999995157853965,-0.11343484892504346,0.0034348973465039706,0.0034348973465039706,0.032609784935164275,30.6656422907489,5,ALL,primary,B,A_baseline,True,False
0.25,0.015,82608,1412,62,0.0034348973465039706,0.001719464828599598,1.9976549036489977,6.474628244875847e-05,0.006805048410559182,0.7962667054038349,0.7935187875266319,-0.004666618245206311,-0.008101515591710129,0.09200000000000001,-0.09666661824520632,-0.10010151559171014,0.0034348973465039706,0.0034348973465039706,0.03733584072286924,26.783915418502207,5,ALL,primary,B,B_low_slip,True,False
