strategy,universe,rebalance_d,days,gross_ann,cost_ann,ann_return,ann_vol,sharpe,gross_t,t_stat,p_value,bh_threshold,survives_bh
size_small,tradeable_1m,1,574,-2.435298022768877,4.095893324028615,-6.531191346797484,34.856634554580026,-0.18737297591282548,-0.08758442890475224,-0.23489176342541876,0.8142927425789586,0.038125000000000006,False
reversal_1d,tradeable_1m,1,574,46.45189974548364,38.258828294455256,8.193071451028377,43.84075055920653,0.1868825543933995,1.3284925738526674,0.23427696838916268,0.8147699649925015,0.03875,False
tsmom_250d,all,7,352,10.847856510685286,1.1185146934238437,9.729341817261444,41.70907397649249,0.23326679040500786,0.2554617605210194,0.22899665219411788,0.8188715181601764,0.03937500000000001,False
momentum_30d,tradeable_1m,90,514,6.999808627969073,0.5570932296667341,6.442715398302342,33.71411296425825,0.1910984698049904,0.2463292243758167,0.22669589536456017,0.8206602190583303,0.04,False
tsmom_60d,all,30,514,8.552427538131596,0.8924075625842968,7.660019975547305,45.95533697680643,0.16668401277121092,0.22081967747389414,0.1977335640452139,0.8432535278437344,0.040625,False
momentum_90d,tradeable_1m,1,513,-1.612237438970994,5.596003737352642,-7.208241176323642,44.41950511706486,-0.16227648546121276,-0.04301812253984611,-0.19231765885967095,0.8474933868108018,0.04125,False
tsmom_60d,tradeable_1m,30,514,7.770882150873673,0.9727982235683506,6.798083927305326,43.548928681781206,0.15610220809287825,0.2117347322217601,0.1851806027966206,0.8530873826926336,0.041875,False
tsmom_60d,all,7,541,8.207921877236995,1.6245357741410993,6.58338610309589,48.06066788812667,0.13698074522019504,0.20784062453894264,0.1667105348499722,0.8675978159332226,0.0425,False
momentum_30d,tradeable_1m,1,573,2.4726291735636314,8.100801260926392,-5.628172087362768,44.74632445704078,-0.12577953956343738,0.06921988497924349,-0.1575404926638598,0.8748188977754161,0.043125000000000004,False
illiquidity,tradeable_1m,7,569,6.342925561099559,1.912589367406173,4.430336193693387,36.57459044500181,0.12113153256918631,0.21632231917686487,0.15118831710924607,0.8798271659553402,0.04375,False
momentum_30d,all,7,569,4.594539389450375,2.6237907406213217,1.9707486488290569,18.719249394460448,0.10527925598407042,0.3067972858526874,0.13140256051539573,0.89545686322923,0.044375000000000005,False
low_volatility,all,1,573,4.131396130151259,2.5520033214340074,1.5793928087172517,24.4176165956797,0.0646825132390972,0.21185668317616801,0.08101568059314276,0.9354294821869474,0.045,False
reversal_1d,all,30,574,2.4813567776772976,1.3804861564258113,1.1008706212514827,17.52449677560594,0.0628189576766559,0.17720729210246208,0.07875018088030722,0.93723133081222,0.045625000000000006,False
momentum_90d,tradeable_1m,7,513,4.946238251698932,2.24245039160401,2.703787860094929,42.90089459223571,0.06302404380593653,0.13669737546586844,0.07469126856043556,0.9404603549477369,0.04625,False
tsmom_120d,tradeable_1m,7,478,4.305172993502164,1.4634870519304208,2.841685941571748,44.9775059364601,0.06318015822367315,0.10950182991684529,0.07227690466868322,0.9423815440219666,0.046875,False
reversal_1d,all,1,602,38.37407594376668,39.327837073797,-0.9537611300303233,20.667464146378993,-0.046147951353646126,2.386141506984036,-0.05924552597926308,0.9527565488134873,0.0475,False
low_volatility,tradeable_1m,7,569,4.055479017597461,1.9685108720585214,2.086968145538948,45.79314640112716,0.04557380982861617,0.11056164579689706,0.05688219628782312,0.954639036651856,0.048125,False
momentum_90d,all,90,424,-0.19752614496319365,0.45878444332168855,-0.6563105882848823,13.652722718303549,-0.04807177306875193,-0.015593930838427868,-0.05179382163352437,0.958692978567777,0.04875,False
momentum_30d,tradeable_1m,7,569,3.746396680900359,3.182324743274446,0.5640719376259102,42.59009707422149,0.013244204084412054,0.10982949173839875,0.016530534077326027,0.9868111427419616,0.049375,False
size_small,tradeable_1m,90,514,0.253959054173383,0.42677369450831276,-0.17281464033493046,25.847522833858743,-0.006685926595199805,0.011655173866752397,-0.007931367097744097,0.9936717509948076,0.05,False
