symbol,stop_mult,target_r,hold_h,trades,gross_r,cost_r,net_r,hit,timeout
XRPUSD,2.0,1.0,48,870,0.01950471351325318,0.11214009004614979,-0.09263537653289661,49.88505747126437,0.3448275862068966
XRPUSD,2.0,1.0,168,869,0.020730791555529135,0.11209957125937792,-0.09136877970384877,50.057537399309545,0.0
XRPUSD,2.0,1.5,48,759,0.01424774500885883,0.11175764859517182,-0.09750990358631298,39.789196310935445,0.3952569169960474
XRPUSD,2.0,1.5,168,755,0.012116445587382316,0.11158963718157827,-0.09947319159419594,39.867549668874176,0.0
XRPUSD,2.0,2.0,48,658,-0.027182933204374836,0.11127925131326108,-0.13846218451763592,31.30699088145897,1.6717325227963524
XRPUSD,2.0,2.0,168,649,-0.022233310515847576,0.11130855839627557,-0.13354186891212316,32.20338983050847,0.0
XRPUSD,2.0,2.5,48,603,0.06441047761847546,0.11197221681888055,-0.047561739200405115,29.187396351575458,2.321724709784411
XRPUSD,2.0,2.5,168,597,0.04203635255393786,0.11185136078073721,-0.06981500822679934,29.48073701842546,0.0
XRPUSD,2.0,3.0,48,562,0.024830137256624283,0.11275712861049819,-0.08792699135387391,24.199288256227756,3.202846975088968
XRPUSD,2.0,3.0,168,548,0.008762271915553774,0.11255049655396944,-0.1037882246384157,25.0,0.0
XRPUSD,2.0,4.0,48,483,0.12660689820192467,0.11270970180172898,0.0138971964001957,19.25465838509317,7.453416149068323
XRPUSD,2.0,4.0,168,465,0.07280708179212342,0.1122677043758981,-0.03946062258377469,21.29032258064516,0.21505376344086022
XRPUSD,3.0,1.0,48,964,0.05383883884270589,0.095771849145882,-0.0419330103031761,51.141078838174266,1.4522821576763485
XRPUSD,3.0,1.0,168,950,0.052322342728656004,0.0957126776498848,-0.043390334921228804,51.78947368421053,0.0
XRPUSD,3.0,1.5,48,767,0.06814638800532674,0.09615583601695774,-0.028009448011630994,39.895697522816164,4.823989569752282
XRPUSD,3.0,1.5,168,713,0.03664793357527881,0.09515459437887473,-0.05850666080359592,40.95371669004207,0.0
XRPUSD,3.0,2.0,48,664,0.0635602859208206,0.09553308497843364,-0.03197279905761304,32.07831325301205,6.77710843373494
XRPUSD,3.0,2.0,168,615,0.06116751485606131,0.095242616387627,-0.03407510153156571,34.959349593495936,0.16260162601626016
