symbol,family,target_r,stop_mult,gate,trades,net_r,cost_r,win_rate,gross_r,rej_cost,med_r_bps,model
BEATUSD,atr_arm,2.0,2.0,0.045,878,0.0044005572610957885,0.02219754490243466,0.3439635535307517,0.026598102163530445,115,234.3635898078422,maker/maker
BEATUSD,atr_arm,2.0,4.0,0.045,383,-0.062463602905535626,0.014153833544135375,0.3237597911227154,-0.04830976936140026,1,389.9939199166155,maker/maker
BEATUSD,adx_only,1.0,2.0,0.045,502,-0.04789432133675574,0.020497223051190127,0.4860557768924303,-0.027397098285565632,34,249.31938444929773,maker/maker
BEATUSD,adx_only,1.0,4.0,0.045,239,-0.12291158749020555,0.014572561186091388,0.4435146443514644,-0.10833902630411417,0,375.42057729768015,maker/maker
BEATUSD,adx_only,2.0,2.0,0.045,420,-0.047124159111732095,0.020333155747464155,0.3261904761904762,-0.02679100336426793,27,251.57745521534258,maker/maker
BEATUSD,adx_only,2.0,4.0,0.045,201,-0.050268204522975,0.01467864215358126,0.3283582089552239,-0.03558956236939376,0,383.09225061486467,maker/maker
BEATUSD,wpr_only,1.0,2.0,0.045,1536,-0.03969734156670475,0.0232435730792717,0.4908854166666667,-0.016453768487433046,351,217.67141028921813,maker/maker
BEATUSD,wpr_only,1.0,4.0,0.045,662,0.015294303776570858,0.014473238391799802,0.5151057401812689,0.02976754216837067,3,385.3984458284075,maker/maker
BEATUSD,wpr_only,2.0,2.0,0.045,1111,-0.020536880037656448,0.02280604081128953,0.3357335733573357,0.0022691607736331056,268,223.36956521739083,maker/maker
BEATUSD,wpr_only,2.0,4.0,0.045,458,0.06162826946552615,0.014129979847694072,0.37117903930131,0.0757582493132202,2,397.9489360370342,maker/maker
AKEUSD,atr_arm,1.0,2.0,0.15,151,-0.08630929337016305,0.0703952092275119,0.48344370860927155,-0.015914084142651174,22,269.8992474199008,taker/taker
AKEUSD,atr_arm,1.0,4.0,0.15,56,-0.2596598217202793,0.055276822560316644,0.39285714285714285,-0.20438299915996264,3,341.5223249066353,taker/taker
AKEUSD,atr_arm,2.0,2.0,0.15,123,-0.20270218375615612,0.06673134217140274,0.2845528455284553,-0.1359708415847533,18,274.50689970130014,taker/taker
AKEUSD,atr_arm,2.0,4.0,0.15,41,-0.21388582485450744,0.05331445143177744,0.2682926829268293,-0.16057137342273003,3,372.19674602675946,taker/taker
AKEUSD,adx_only,1.0,2.0,0.15,74,0.05946895441009606,0.06792484466685526,0.5540540540540541,0.12739379907695128,4,300.50054044507806,taker/taker
AKEUSD,adx_only,1.0,4.0,0.15,26,-0.2648251266579872,0.05356202186974053,0.38461538461538464,-0.21126310478824667,0,319.29378924870156,taker/taker
AKEUSD,adx_only,2.0,2.0,0.15,57,0.1094861394787572,0.06479622671393462,0.38596491228070173,0.17428236619269177,4,302.5031410070554,taker/taker
AKEUSD,adx_only,2.0,4.0,0.15,24,-0.28945524547591045,0.05405863311982834,0.25,-0.23539661235608209,0,316.04003647327886,taker/taker
AKEUSD,wpr_only,1.0,2.0,0.15,189,-0.15256939433722166,0.06860411899341544,0.4497354497354497,-0.08396527534380623,71,267.8974564792059,taker/taker
AKEUSD,wpr_only,1.0,4.0,0.15,65,0.042072494125926035,0.04964085428561069,0.5384615384615384,0.09171334841153676,0,376.54060640142603,taker/taker
AKEUSD,wpr_only,2.0,2.0,0.15,139,-0.2148153009688833,0.06688396321945313,0.2805755395683453,-0.14793133774943015,36,284.97342815331973,taker/taker
AKEUSD,wpr_only,2.0,4.0,0.15,41,-0.07409893529572044,0.0531998912998862,0.3170731707317073,-0.020899043995834303,0,458.4864373890431,taker/taker
AKEUSD,atr_arm,1.0,2.0,0.15,165,-0.12600146130748982,0.05208478119179973,0.45454545454545453,-0.07391668011569007,5,239.37042299704746,maker/taker
AKEUSD,atr_arm,1.0,4.0,0.15,58,-0.23448411543266207,0.03805918563079968,0.39655172413793105,-0.19642492980186244,0,336.4643096521002,maker/taker
AKEUSD,atr_arm,2.0,2.0,0.15,136,-0.2476670606076358,0.05060839508636953,0.2647058823529412,-0.19705866552126633,5,253.37154884287267,maker/taker
AKEUSD,atr_arm,2.0,4.0,0.15,42,-0.21742138691955043,0.03709296768840244,0.2619047619047619,-0.18032841923114798,0,364.9403465329104,maker/taker
AKEUSD,adx_only,1.0,2.0,0.15,78,0.07486295232007444,0.04778008728406185,0.5512820512820513,0.12264303960413628,0,291.76053864501864,maker/taker
AKEUSD,adx_only,1.0,4.0,0.15,26,-0.24604451898973642,0.03478141420148973,0.38461538461538464,-0.21126310478824667,0,319.29378924870156,maker/taker
AKEUSD,adx_only,2.0,2.0,0.15,60,0.2225607195806606,0.046588870879807606,0.4166666666666667,0.26914959046046827,0,297.3752823183138,maker/taker
AKEUSD,adx_only,2.0,4.0,0.15,24,-0.27050050955921107,0.035103897203129036,0.25,-0.23539661235608203,0,316.04003647327886,maker/taker
AKEUSD,wpr_only,1.0,2.0,0.15,203,-0.12800832954676578,0.05140892300092708,0.45320197044334976,-0.0765994065458387,8,260.4696994580392,maker/taker
AKEUSD,wpr_only,1.0,4.0,0.15,65,0.059478211388095885,0.032235137023440864,0.5384615384615384,0.09171334841153678,0,376.54060640142603,maker/taker
AKEUSD,wpr_only,2.0,2.0,0.15,144,-0.13982240225717021,0.046905156554965285,0.2986111111111111,-0.09291724570220494,2,282.34506852694346,maker/taker
AKEUSD,wpr_only,2.0,4.0,0.15,41,-0.05544530252348189,0.034546258527647616,0.3170731707317073,-0.02089904399583429,0,458.4864373890431,maker/taker
AKEUSD,atr_arm,1.0,2.0,0.097,151,-0.06162641621064304,0.045712332067991884,0.48344370860927155,-0.01591408414265116,22,269.8992474199008,maker/taker
AKEUSD,atr_arm,1.0,4.0,0.097,56,-0.2402779484934341,0.03589494933347143,0.39285714285714285,-0.20438299915996264,3,341.5223249066353,maker/taker
AKEUSD,atr_arm,2.0,2.0,0.097,123,-0.17930397896947434,0.04333313738472102,0.2845528455284553,-0.1359708415847533,18,274.50689970130014,maker/taker
