cell,tf,conf,gates,tgt,hrs,net,pos,nblk,n,win,dd,wk,lo,hi,allsym,s_BEAT,s_AKEU,s_BANK,b0,b1,b2,b3
15/5m c=x DI        3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI+A25    1R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI+A25    1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI+A25    1.5R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI+A25    1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI+A25    3R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI+A25    3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST        1R all,15/5,x,ST,1.0,all,-1.3686458857712849,0,1.0,1,0.0,0.0,0.031980202731642315,-1.3686458857712849,-1.3686458857712849,False,-1.3686458857712849,,,,,,-1.3686458857712849
15/5m c=x ST        1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST        1.5R all,15/5,x,ST,1.5,all,-1.3686458857712849,0,1.0,1,0.0,0.0,0.031980202731642315,-1.3686458857712849,-1.3686458857712849,False,-1.3686458857712849,,,,,,-1.3686458857712849
15/5m c=x ST        1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST        3R all,15/5,x,ST,3.0,all,-1.3686458857712849,0,1.0,1,0.0,0.0,0.031980202731642315,-1.3686458857712849,-1.3686458857712849,False,-1.3686458857712849,,,,,,-1.3686458857712849
15/5m c=x ST        3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+A25    1R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+A25    1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+A25    1.5R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+A25    1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+A25    3R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+A25    3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI     1R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI     1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI     1.5R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI     1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI     3R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI     3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI+A25 1R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI+A25 1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI+A25 1.5R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI+A25 1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI+A25 3R all,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x ST+DI+A25 3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=- none      1R all,15/5,-,none,1.0,all,-0.28543352758656165,0,4.0,90,0.36666666666666664,26.671180697076274,2.8782182458478087,-0.4748615802294017,-0.07824528397138932,False,-0.32315743408963293,0.3858459635864797,-0.7850177330252225,-0.6280381084587565,-0.33314777488405334,-0.1965481135965636,-0.2327193799731563
15/5m c=- none      1R 18-24,15/5,-,none,1.0,18-24,-0.332491293502153,1,4.0,37,0.35135135135135137,14.20290149801863,1.1832675010707658,-0.6330658170297191,-0.011557958463436607,False,-0.25401479251474174,-0.03989717264174736,-1.0869812365847933,-0.32640660138795247,0.006030380764373511,-0.014398605638270126,-0.5105404878803244
15/5m c=- none      1.5R all,15/5,-,none,1.5,all,-0.31691257503929726,0,4.0,83,0.27710843373493976,27.71841036241883,2.6543568267263122,-0.5612880176664774,-0.07532054296637257,False,-0.31900512108932916,0.1667300568692374,-0.7223132365339944,-0.5396693746709669,-0.36558932733108473,-0.17429004178992374,-0.2994192902742719
15/5m c=- none      1.5R 18-24,15/5,-,none,1.5,18-24,-0.25025975754900176,1,4.0,36,0.3055555555555556,11.789554160642023,1.1512872983391234,-0.6245805571301063,0.14368072005073218,False,-0.16948030662519148,0.21149143666542736,-1.0869812365847933,-0.17601196205246358,-0.3592086513577414,0.29008499290581297,-0.4459600344486766
15/5m c=- none      3R all,15/5,-,none,3.0,all,-0.5443903715591948,0,4.0,74,0.14864864864864866,40.585347810575534,2.3665350021415317,-0.7939320002619259,-0.24782940884182522,False,-0.5191898483963473,-0.8667385758002923,-0.5350767330252224,-0.6548235848129044,-0.5254739410524528,-0.43604208022198754,-0.566839579119635
15/5m c=- none      3R 18-24,15/5,-,none,3.0,18-24,-0.25075370104311084,3,4.0,35,0.2,15.185855442152329,1.119307095607481,-0.7198960904860949,0.29119052778266064,False,-0.08047727507560415,-1.0473068064885922,-1.0869812365847933,0.31655922270615855,0.04150380082943167,0.020049515719867555,-0.47773423895162637
15/5m c=- A25       1R all,15/5,-,A25,1.0,all,-0.22983801912226445,1,4.0,36,0.3888888888888889,9.263370700486922,1.1512872983391234,-0.545606091113377,0.107696520717688,False,-0.31850798023850796,0.6256174725031729,-0.6242097129432351,-0.5149258674537986,0.02646027733923939,-0.03844123430715085,-0.19016910861426303
15/5m c=- A25       1R 18-24,15/5,-,A25,1.0,18-24,-0.08790212183159173,1,4.0,13,0.46153846153846156,2.142272563050321,0.4157426355113501,-0.5612053599649507,0.39125007592729294,False,-0.0973575135614849,0.9743107609939371,-1.0461056956282957,-0.32640660138795247,1.053144074307646,-0.04467115774003705,-0.1610442197820581
15/5m c=- A25       1.5R all,15/5,-,A25,1.5,all,-0.12941462115718233,2,4.0,36,0.3611111111111111,7.954548985707173,1.1512872983391234,-0.49952118296810305,0.2546282448866464,False,-0.24044792792452932,0.8424264714331098,-0.5238825185572701,-0.4044649502190615,0.2815615576400861,0.14883796450566078,-0.12941495088535176
15/5m c=- A25       1.5R 18-24,15/5,-,A25,1.5,18-24,-0.04415640455478309,2,4.0,13,0.38461538461538464,3.7679245180434697,0.4157426355113501,-0.6301466414947616,0.5561415608151907,False,-0.09136504938110646,1.4770879796082865,-1.0461056956282957,-0.17601196205246358,1.558167999512878,0.20554360020081675,-0.2878932247099001
15/5m c=- A25       3R all,15/5,-,A25,3.0,all,-0.22451763203906117,2,4.0,33,0.24242424242424243,8.84895086047485,1.0553466901441966,-0.6683841613499268,0.3188258680328495,False,-0.20118516722765115,-0.4193107039605213,-0.22430411294323513,-0.5484077128964834,0.07736333170761056,0.1488379645056609,-0.1909973373662587
15/5m c=- A25       3R 18-24,15/5,-,A25,3.0,18-24,-0.0883015299556432,2,4.0,13,0.23076923076923078,5.854538720371519,0.4157426355113501,-0.97452896101534,0.8560071446983415,False,0.08533584662769879,-1.0405085066997526,-1.0461056956282957,0.31655922270615855,3.161017808261571,-1.0802348405284827,-0.4425922406780632
15/5m c=- DI        1R all,15/5,-,DI,1.0,all,-0.4917781965603379,0,4.0,55,0.2727272727272727,28.96776122779267,1.7589111502403274,-0.7129891534111981,-0.2570493251306449,False,-0.4838106312165949,0.3117445694613157,-1.0487869704045139,-0.010442218126590186,-0.9953173626641574,-0.45201769751645093,-0.4570187544810935
15/5m c=- DI        1R 18-24,15/5,-,DI,1.0,18-24,-0.5413871377707576,0,4.0,16,0.25,8.515305543703851,0.511683243706277,-0.9287636478426188,-0.12109953881859703,False,-0.42505362254062695,-1.0541051062774318,-1.0411960025132698,-0.07344433031413578,-1.0787275984534483,-0.33354356840897914,-0.6435947240023465
15/5m c=- DI        1.5R all,15/5,-,DI,1.5,all,-0.4202331279764117,1,4.0,54,0.24074074074074073,25.49623666557821,1.7269309475086851,-0.6971567724034443,-0.1319405789882731,False,-0.3818930965786142,0.03947612797086464,-1.0487869704045139,0.21047961634288406,-0.9953173626641574,-0.48520541887492374,-0.33704861976550804
15/5m c=- DI        1.5R 18-24,15/5,-,DI,1.5,18-24,-0.3607446298077288,1,4.0,15,0.26666666666666666,5.715464704494127,0.4797030409746348,-0.8798646774996928,0.29905890413105474,False,-0.18955602798433005,-1.0541051062774318,-1.0411960025132698,0.1521476286890976,-1.0787275984534483,-0.15133779259841917,-0.46474708091615796
15/5m c=- DI        3R all,15/5,-,DI,3.0,all,-0.675168327081837,0,4.0,51,0.11764705882352941,36.0856903346063,1.6309903393137581,-0.9318669172215897,-0.3576169271445067,False,-0.6837869345209031,0.0710627850825724,-1.0487869704045139,-0.07740590901195932,-0.9953173626641573,-0.6424036137296518,-0.6985803428562163
