label,trades,effective_n,deff,win_rate,gross_r,cost_r,funding_r,net_r,median_r,avg_win,avg_loss,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_net,t_gross,hold_mean,hold_median,stop_pct_mean,stop_pct_median,pct_positive_months,pct_target,pct_stop,pct_time,pct_long,percentile,min_duration,volume_mult,body_mult,target_r
percentile=0.2|min_duration=6|volume_mult=1.5|body_mult=0.5|target_r=3.0,13,13.0,1.0,0.3077,0.0221,0.2681,-0.00887,-0.2372,-0.8225,1.4602,-0.9916,0.655,-13.678,-43.945,3.69,-0.6679,0.2036,-1.089,0.105,18.38,21.0,0.407,0.392,40.0,7.7,46.2,46.2,38.5,0.2,6,1.5,0.5,3.0
percentile=0.2|min_duration=6|volume_mult=1.5|body_mult=0.75|target_r=2.0,9,9.0,1.0,0.3333,0.0359,0.2242,0.0,-0.1883,-0.8225,1.4924,-1.0287,0.725,-11.261,-52.609,3.56,-0.5544,0.2077,-0.91,0.173,17.11,21.0,0.432,0.423,25.0,22.2,44.4,33.3,44.4,0.2,6,1.5,0.75,2.0
percentile=0.2|min_duration=6|volume_mult=1.5|body_mult=0.75|target_r=3.0,9,9.0,1.0,0.3333,0.1035,0.2501,-0.01281,-0.1338,-0.8225,1.6559,-1.0287,0.805,-6.73,-34.965,3.56,-0.6089,0.3733,-0.544,0.417,19.56,21.0,0.432,0.423,50.0,11.1,44.4,44.4,44.4,0.2,6,1.5,0.75,3.0
percentile=0.2|min_duration=6|volume_mult=2.0|body_mult=0.25|target_r=2.0,10,10.0,1.0,0.2,-0.3566,0.2544,0.0,-0.6111,-1.1571,1.3375,-1.0982,0.304,-46.729,-185.8,6.19,-1.0991,-0.112,-2.515,-1.487,15.5,20.5,0.422,0.407,20.0,10.0,60.0,30.0,40.0,0.2,6,2.0,0.25,2.0
percentile=0.2|min_duration=6|volume_mult=2.0|body_mult=0.25|target_r=3.0,10,10.0,1.0,0.2,-0.3958,0.2777,-0.01153,-0.662,-1.1571,1.083,-1.0982,0.247,-54.171,-191.073,6.19,-1.0991,-0.2139,-3.083,-1.805,17.2,21.0,0.422,0.407,20.0,0.0,60.0,40.0,40.0,0.2,6,2.0,0.25,3.0
percentile=0.2|min_duration=6|volume_mult=2.0|body_mult=0.5|target_r=2.0,10,10.0,1.0,0.2,-0.3566,0.2544,0.0,-0.6111,-1.1571,1.3375,-1.0982,0.304,-46.729,-185.8,6.19,-1.0991,-0.112,-2.515,-1.487,15.5,20.5,0.422,0.407,20.0,10.0,60.0,30.0,40.0,0.2,6,2.0,0.5,2.0
percentile=0.2|min_duration=6|volume_mult=2.0|body_mult=0.5|target_r=3.0,10,10.0,1.0,0.2,-0.3958,0.2777,-0.01153,-0.662,-1.1571,1.083,-1.0982,0.247,-54.171,-191.073,6.19,-1.0991,-0.2139,-3.083,-1.805,17.2,21.0,0.422,0.407,20.0,0.0,60.0,40.0,40.0,0.2,6,2.0,0.5,3.0
percentile=0.2|min_duration=6|volume_mult=2.0|body_mult=0.75|target_r=2.0,7,7.0,1.0,0.1429,-0.4058,0.2185,0.0,-0.6243,-1.1439,1.8019,-1.0287,0.292,-45.396,-177.99,4.93,-1.0629,-0.1895,-2.892,-1.925,16.43,21.0,0.469,0.426,25.0,14.3,57.1,28.6,42.9,0.2,6,2.0,0.75,2.0
percentile=0.2|min_duration=6|volume_mult=2.0|body_mult=0.75|target_r=3.0,7,7.0,1.0,0.1429,-0.4617,0.2518,-0.01647,-0.697,-1.1439,1.2928,-1.0287,0.209,-56.936,-185.487,4.93,-1.0629,-0.335,-3.926,-2.535,18.86,21.0,0.469,0.426,25.0,0.0,57.1,42.9,42.9,0.2,6,2.0,0.75,3.0
percentile=0.3|min_duration=4|volume_mult=1.0|body_mult=0.25|target_r=2.0,87,67.5,1.29,0.2989,-0.0651,0.25,0.00535,-0.3205,-0.6929,1.152,-0.9482,0.518,-23.609,-60.673,31.75,-0.5434,-0.0877,-2.433,-0.489,15.89,20.0,0.431,0.423,20.0,14.9,41.4,43.7,43.7,0.3,4,1.0,0.25,2.0
